Submission Code,Presentation Number,Contact Email,Corresponding Author,Students,Advisors,Major,Title,Video,Abstract,Slides
177-Noel,177,,,Sophia Noel,Biomedical Engineering,Kristen Billiar,Improving a PDMS Post Stiffness Testing Device,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
178-Nowak,178,,,Monika Nowak,Biomedical Engineering,Kristen Billiar,Independent Research/Assistance for Billiar Lab,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
179-Oppong,179,,,Susanna Oppong,Biology & Biotechnolofgy,Reeta Prusty Rao,Understanding Superbug Single Nucleotide Polymorphisms (SNPs),"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
180-Orszulak,180,,,Adrian Orszulak,"Biology & Biotechnology, Bioinformatics & Computational Biology",Scarlet Shell,Understanding the Link Between Gene Expression and Transcription Rate in Mycobacteria tuberculosis,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
181-Salvino,181,,,Ally Salvino,Mathematical Sciences,Erin Solovey,Developing and Studying Novel Sign Language Technology,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
182-Sanderville,182,,,Tyler Sanderville,Robotics Engineering,Yihao Zheng,Advancing Control and Communication for Remote-Ultrasound Examinations,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
183-Song,183,,,Jialin Song,Robotics Engineering,Loris Fichera,Making Surgical Lasers to Cut Better,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
184-Tarantino,184,,,Sarah Tarantino,Biology & Biotechnology,Jagan Srinivasan,Alzheimer’s Disease: Sex Bias and Natural Metabolites as Treatment,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
185-Tourtillott,185,,,Nicholas Tourtillott,Bioinformatics & Computational Biology,Elizabeth Ryder,Modeling Microbial Interaction,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
186-Winters,186,,,Shawna Winters,Mechanical Engineering,Nima Rahbar,"Designing a Negative Thermal Expansion, Negative Poisson’s Ratio Material","<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
187-Wojtas,187,,,Max Wojtas,"Society, Technology, & Policy",Yunus Dogan Telliel,The Future of Work,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
188-Zhu,188,,,Mingzhang Zhu,"Mechanical Engineering, Robotics Engineering",Yuxiang Shawn Liu,Investigation of Thinner-Diameter Fibers for Laser Delivery,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
