Submission Code,Presentation Number,Contact Email,Corresponding Author,Students,Advisors,Major,Title,Video,Abstract,Slides
167-Lian,167,,,Meng Lian,Chemical Engineering,Kun-Ta Wu,Reproducing Viscek Model's Simulation on Active Matter's Collective Dynamics,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
168-Lunden,168,,,Benjamin Lunden,Physics,Izabela Stroe,Inhibiting Amyloid-β aggregation with β-endorphins,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
169-Ma,169,,,Zhifei Ma,Mathematical Sciences,Min Wu,Minimizing Infected Population and Estimating How Long Covid-19 Will Last for Counties in Massachusetts Using SIR Model and Control Theory,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
170-Masiello,170,,,Catherine Masiello,Biology & Biotechnology,Scarlet Shell,Ribosomal Binding Site Characteristics of Mycobacterium,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
171-Mason,171,,,"Kaitlin Mason, Sahana Venkatesh",Physics,Doug Petkie,Mapping Atomic Carbon and Carbon Monoxide in Stellar Forming Regions with Terahertz Astronomy,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
172-Mendes,172,,,Jocelyn Mendes,Chemistry,Ronald Grimm,"Interfacial States, Energetics, and Atmospheric Stability of Antifluorite Cesium Titanium Bromide Thin Films","<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
173-Mirecki,173,,,"Victoria Mirecki, Juliette Spitaels","Computer Science, Mathematical Sciences",Gillian Smith,Analysis of Quilting as a Metaphor for Computer Programming,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
174-Miska,174,,,Alana Miska,Chemical Engineering,Andrew Teixieira,Zeolite Synthesis and Microreactor Design,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
175-Moy,175,,,Justin Moy,Bioinformatics and Computational Biology,Scarlet Shell,Codon Optimality regarding M. tuberculosis mRNA Degradation,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
176-Nieto,176,,,Alex Nieto,Biomedical Engineering,Andrew Teixeira,A Continuation of Membraneless Water Purification via Diffusiophoresis,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
